entry_time,exit_time,direction,entry_price,exit_price,stop,target,outcome,return_pct,score,confidence,comp_daily_trend,comp_macd,comp_rsi,comp_vwap,comp_ema,comp_orb,comp_relative_strength
2026-07-10 13:35:00,2026-07-10 15:55:00,CALL,726.09,725.53,719.83,735.47,eod,-0.0764,0.503,Medium,0.0,-0.1,0.0121,0.191,0.15,0.15,0.1
2026-07-15 10:20:00,2026-07-15 15:55:00,PUT,717.02,717.69,724.35,706.03,eod,-0.0933,-0.551,Medium,0.0,-0.1,-0.0013,-0.2,0.0,-0.15,-0.1
2026-07-20 10:55:00,2026-07-20 15:55:00,PUT,698.54,695.99,705.55,688.02,eod,0.3664,-0.521,Medium,0.0,-0.1,-0.0262,-0.2,0.0,-0.15,-0.0449
2026-07-24 13:05:00,2026-07-24 15:55:00,PUT,687.93,684.22,692.45,681.15,eod,0.5422,-0.568,Medium,0.0,-0.1,-0.0382,-0.0297,-0.15,-0.15,-0.1
2026-07-27 09:55:00,2026-07-27 10:40:00,PUT,685.8,676.11,692.26,676.11,target,1.4332,-0.59,Medium,0.0,-0.1,-0.0397,-0.2,0.0,-0.15,-0.1
2026-07-27 10:45:00,2026-07-27 15:55:00,PUT,678.93,682.06,692.26,658.93,eod,-0.4589,-0.6,High,0.0,-0.1,-0.0496,-0.2,0.0,-0.15,-0.1
2026-07-31 09:45:00,2026-07-31 15:55:00,PUT,686.88,688.01,695.77,673.54,eod,-0.1642,-0.651,High,-0.08,-0.1,-0.0215,-0.2,0.0,-0.15,-0.1
2026-08-06 09:45:00,2026-08-06 15:55:00,CALL,715.44,714.62,708.5,725.85,eod,-0.1146,0.569,Medium,0.0,0.1,0.0185,0.2,0.0,0.15,0.1
2026-08-17 11:15:00,2026-08-17 13:05:00,CALL,734.25,731.64,731.64,738.16,stop,-0.3555,0.593,Medium,0.0,0.1,0.0432,0.0708,0.15,0.15,0.0793
2026-08-21 10:15:00,2026-08-21 11:50:00,PUT,709.44,715.37,715.37,700.55,stop,-0.8289,-0.505,Medium,0.0,-0.1,-0.0079,-0.1475,0.0,-0.15,-0.1
2026-08-25 11:10:00,2026-08-25 15:55:00,PUT,709.5,710.64,713.13,704.05,eod,-0.1604,-0.502,Medium,0.0,-0.1,-0.0069,-0.0801,-0.15,-0.15,-0.0146
2026-08-28 11:55:00,2026-08-28 15:55:00,PUT,717.86,716.45,721.52,712.37,eod,0.1968,-0.599,Medium,0.0,-0.1,0.0109,-0.1523,-0.15,-0.15,-0.0577
2026-09-04 13:40:00,2026-09-04 15:55:00,PUT,716.8,719.06,720.71,710.95,eod,-0.3136,-0.507,Medium,0.0,-0.1,0.0091,-0.1136,-0.15,-0.15,-0.0022
2026-09-09 11:20:00,2026-09-09 15:55:00,PUT,714.16,716.28,717.54,709.09,eod,-0.296,-0.539,Medium,0.0,-0.1,0.0006,-0.1729,-0.15,-0.15,0.0331
2026-09-15 11:10:00,2026-09-15 15:55:00,PUT,705.28,704.59,709.23,699.34,eod,0.0972,-0.553,Medium,0.0,-0.1,-0.0223,-0.1041,-0.15,-0.15,-0.0263
2026-09-18 12:20:00,2026-09-18 14:50:00,PUT,715.41,719.54,719.54,709.21,stop,-0.574,-0.528,Medium,0.0,-0.1,0.0078,-0.1101,-0.15,-0.15,-0.0259
2026-09-18 15:55:00,2026-09-18 15:55:00,CALL,721.36,721.36,718.45,725.72,eod,0.0,0.701,High,0.0,0.1,0.0232,0.1778,0.15,0.15,0.1
2026-09-22 09:50:00,2026-09-22 15:55:00,CALL,745.32,747.47,741.0,751.79,eod,0.2885,0.514,Medium,0.0,0.1,0.0687,0.0954,0.0,0.15,0.1
2026-09-24 12:15:00,2026-09-24 15:55:00,CALL,739.18,741.06,734.63,746.0,eod,0.2543,0.662,High,0.0,0.1,0.0468,0.1541,0.15,0.15,0.0608
2026-09-25 12:00:00,2026-09-25 15:55:00,CALL,745.1,744.44,741.66,750.26,eod,-0.0886,0.579,Medium,0.0,0.1,0.0598,0.1253,0.15,0.15,-0.0066
